date,name,weight,std
2019-01-17T00:00:00Z,simone,10.375,20.9625
2019-01-17T00:00:00Z,gagne,10.375,20.9625
2019-01-19T00:00:00Z,raisin,17.75,NA
2019-01-19T00:00:00Z,simone,10.125,NA
2019-01-19T00:00:00Z,gagne,10.375,NA
2019-01-26T00:00:00Z,raisin,18,NA
2019-01-26T00:00:00Z,simone,10.625,NA
2019-01-26T00:00:00Z,gagne,10.5625,NA
2019-01-27T00:00:00Z,raisin,18.0625,NA
2019-01-27T00:00:00Z,simone,10.625,NA
2019-01-27T00:00:00Z,gagne,10.625,NA
2019-01-28T00:00:00Z,raisin,17.9375,NA
2019-01-28T00:00:00Z,simone,10.5,NA
2019-01-28T00:00:00Z,gagne,10.375,NA
2019-02-04T00:00:00Z,raisin,18.0625,NA
2019-02-04T00:00:00Z,simone,10.625,NA
2019-02-04T00:00:00Z,gagne,10.8125,NA
2019-02-06T00:00:00Z,raisin,18.0625,NA
2019-02-06T00:00:00Z,simone,10.875,NA
2019-02-06T00:00:00Z,gagne,10.875,NA
2019-02-08T00:00:00Z,raisin,18,NA
2019-02-08T00:00:00Z,simone,10.5625,NA
2019-02-08T00:00:00Z,gagne,10.6875,NA
2019-02-10T00:00:00Z,raisin,17.9375,NA
2019-02-10T00:00:00Z,simone,10.625,NA
2019-02-10T00:00:00Z,gagne,10.6875,NA
2019-02-13T00:00:00Z,raisin,18.0625,NA
2019-02-13T00:00:00Z,simone,10.625,NA
2019-02-13T00:00:00Z,gagne,10.8125,NA
2019-02-15T00:00:00Z,raisin,17.875,NA
2019-02-15T00:00:00Z,simone,NA,NA
2019-02-15T00:00:00Z,gagne,NA,NA
2019-02-26T00:00:00Z,raisin,17.8125,NA
2019-02-26T00:00:00Z,simone,10.375,NA
2019-02-26T00:00:00Z,gagne,10.4375,NA
2019-02-28T00:00:00Z,raisin,17.625,NA
2019-02-28T00:00:00Z,simone,10.25,NA
2019-02-28T00:00:00Z,gagne,10.3125,NA
2019-03-03T00:00:00Z,raisin,17.4375,NA
2019-03-03T00:00:00Z,simone,10.3125,NA
2019-03-03T00:00:00Z,gagne,10.1875,NA
2019-03-05T00:00:00Z,raisin,17.5625,NA
2019-03-05T00:00:00Z,simone,10.4375,NA
2019-03-05T00:00:00Z,gagne,10.5,NA
2019-03-19T00:00:00Z,raisin,18.0625,NA
2019-03-19T00:00:00Z,simone,9.9375,NA
2019-03-19T00:00:00Z,gagne,9.875,NA
2019-03-21T00:00:00Z,raisin,18.0625,NA
2019-03-21T00:00:00Z,simone,10.125,NA
2019-03-21T00:00:00Z,gagne,10.0625,NA
2019-03-23T00:00:00Z,raisin,17.9375,NA
2019-03-23T00:00:00Z,simone,10.0625,NA
2019-03-23T00:00:00Z,gagne,10.0625,NA
2019-03-25T00:00:00Z,raisin,17.9375,NA
2019-03-25T00:00:00Z,simone,10.0625,NA
2019-03-25T00:00:00Z,gagne,10.0625,NA
2019-03-31T00:00:00Z,raisin,17.8125,NA
2019-03-31T00:00:00Z,simone,10.4375,NA
2019-03-31T00:00:00Z,gagne,10.375,NA
2019-04-05T00:00:00Z,raisin,17.8125,NA
2019-04-05T00:00:00Z,simone,10.25,NA
2019-04-05T00:00:00Z,gagne,10.4375,NA
2019-04-07T00:00:00Z,raisin,17.875,NA
2019-04-07T00:00:00Z,simone,10.25,NA
2019-04-07T00:00:00Z,gagne,10.4375,NA
2019-04-09T00:00:00Z,raisin,17.9375,NA
2019-04-09T00:00:00Z,simone,10.375,NA
2019-04-09T00:00:00Z,gagne,10.4375,NA
2019-04-11T00:00:00Z,raisin,17.9375,NA
2019-04-11T00:00:00Z,simone,10.375,NA
2019-04-11T00:00:00Z,gagne,10.375,NA
2019-04-15T00:00:00Z,raisin,17.625,NA
2019-04-15T00:00:00Z,simone,9.9375,NA
2019-04-15T00:00:00Z,gagne,9.9375,NA
2019-04-21T00:00:00Z,raisin,17.625,NA
2019-04-21T00:00:00Z,simone,10.3125,NA
2019-04-21T00:00:00Z,gagne,10.125,NA
2019-04-24T00:00:00Z,raisin,17.6875,NA
2019-04-24T00:00:00Z,simone,10.375,NA
2019-04-24T00:00:00Z,gagne,10.1875,NA
2019-04-30T00:00:00Z,raisin,17.5625,NA
2019-04-30T00:00:00Z,simone,10.0625,NA
2019-04-30T00:00:00Z,gagne,9.8125,NA
2019-05-03T00:00:00Z,raisin,17.5,NA
2019-05-03T00:00:00Z,simone,10.3125,NA
2019-05-03T00:00:00Z,gagne,10.0625,NA
2019-05-06T00:00:00Z,raisin,17.5625,NA
2019-05-06T00:00:00Z,simone,10.0625,NA
2019-05-06T00:00:00Z,gagne,10.0625,NA
2019-05-10T00:00:00Z,raisin,17.25,NA
2019-05-10T00:00:00Z,simone,10.1875,NA
2019-05-10T00:00:00Z,gagne,10.125,NA
2019-05-17T00:00:00Z,raisin,17.5,NA
2019-05-17T00:00:00Z,simone,10.25,NA
2019-05-17T00:00:00Z,gagne,10.0625,NA
2019-05-31T00:00:00Z,raisin,17.25,NA
2019-05-31T00:00:00Z,simone,9.875,NA
2019-05-31T00:00:00Z,gagne,9.5,NA
2019-06-08T00:00:00Z,raisin,18.0625,NA
2019-06-08T00:00:00Z,simone,10.4375,NA
2019-06-08T00:00:00Z,gagne,9.875,NA
2019-06-12T00:00:00Z,raisin,17.6875,NA
2019-06-12T00:00:00Z,simone,10.3125,NA
2019-06-12T00:00:00Z,gagne,9.5625,NA
2019-06-15T00:00:00Z,raisin,17.75,NA
2019-06-15T00:00:00Z,simone,10.25,NA
2019-06-15T00:00:00Z,gagne,9.5,NA
2019-06-21T00:00:00Z,raisin,18.25,NA
2019-06-21T00:00:00Z,simone,10.5625,NA
2019-06-21T00:00:00Z,gagne,9.5625,NA
2019-07-03T00:00:00Z,raisin,18,NA
2019-07-03T00:00:00Z,simone,10,NA
2019-07-03T00:00:00Z,gagne,9.3125,NA
2019-07-08T00:00:00Z,raisin,18.0625,NA
2019-07-08T00:00:00Z,simone,10.6875,NA
2019-07-08T00:00:00Z,gagne,9.375,NA
2019-07-16T00:00:00Z,raisin,18.375,NA
2019-07-16T00:00:00Z,simone,10.4375,NA
2019-07-16T00:00:00Z,gagne,8.9375,NA
2019-07-19T00:00:00Z,raisin,18.125,NA
2019-07-19T00:00:00Z,simone,10.375,NA
2019-07-19T00:00:00Z,gagne,9,NA
2019-07-23T00:00:00Z,raisin,18.1875,NA
2019-07-23T00:00:00Z,simone,10.25,NA
2019-07-23T00:00:00Z,gagne,8.75,NA
